day,stage_slug,artist_name,starts_at,ends_at,notes
2026-08-01,info-centre,"TIFで起きた朝は 〜今日ここ行きタイッテ！〜",10:00,10:45,
2026-08-01,info-centre,"TOKYO GRAVURE IDOL FESTIVAL 2026トークの部 DAY2",10:55,11:25,
2026-08-01,info-centre,"アイふた in TIF出張版",11:35,12:05,
2026-08-01,info-centre,"ぐんまちゃんアイドルフェスティバル 特別企画",12:25,12:55,
2026-08-01,info-centre,"ミスFLASH2027 × TIF2026 コラボステージ",13:05,14:05,
2026-08-01,info-centre,"TIF学園祭スペシャルトークステージ",14:15,14:45,
2026-08-01,info-centre,"Taskと乾杯！Yakultステージ Task have Fun",14:55,15:15,
2026-08-01,info-centre,"Appare!と乾杯！Yakultステージ Appare!",15:20,15:40,
2026-08-01,info-centre,"Jリーグ大好き部 〜開幕直前 みんなでJ〜",15:50,16:50,
2026-08-01,info-centre,"ガラスガールpresents アイドルがみんなを救う！ 夏の人生相談2026",17:00,17:30,
2026-08-01,info-centre,"TIF ASIA TOUR 2026 スペシャルトークステージ",17:45,18:25,
2026-08-01,info-centre,"TIFの新企画を考える会〜部活プレゼン選手権〜",18:35,19:35,
